Key,Summary,Issue Type,Status,Created,Resolved,Story Points,Description
CUS-147,Document OCR for invoices (phase 2),Story,Done,2026-07-15,2026-09-04,3,Given a shipment ... When ... Then ...
CUS-148,Multi-currency duty calc (phase 2),Story,In Progress,2026-02-17,,,Given a shipment ... When ... Then ...
CUS-149,Importer self-service portal (phase 2),Story,In Progress,2026-09-11,,13,Given a shipment ... When ... Then ...
CUS-150,Customs status webhook for partners (phase 2),Story,Done,2026-07-06,2026-08-09,5,Given a shipment ... When ... Then ...
CUS-151,Improve search (phase 2),Story,Ready,2026-01-16,,2,Given a shipment ... When ... Then ...
CUS-152,Fix report (phase 2),Story,Done,2026-05-02,2026-05-12,5,Given a shipment ... When ... Then ...
CUS-153,Misc UI tweaks (phase 2),Story,Backlog,2026-08-19,,5,Given a shipment ... When ... Then ...
CUS-154,Update docs (phase 2),Bug,Backlog,2026-05-02,,5,Given a shipment ... When ... Then ...
CUS-155,Refactor rules engine (phase 2),Story,In Review,2026-05-11,,,Given a shipment ... When ... Then ...
CUS-156,Entry correction workflow (phase 2),Story,Done,2026-02-19,2026-03-23,3,Needs details
CUS-157,Duplicate shipment detection (phase 2),Story,Ready,2026-04-18,,,Given a shipment ... When ... Then ...
CUS-158,SLA timer on holds (phase 2),Story,Done,2026-03-17,2026-05-16,2,Given a shipment ... When ... Then ...
CUS-159,Broker workload balancing (phase 2),Story,Done,2026-08-03,2026-09-07,2,
CUS-160,Filing cutoff calendar (phase 2),Story,In Review,2026-02-12,,3,Given a shipment ... When ... Then ...
